,id,query,product_title,product_description,median_relevance
10,10,light bulb,Wintergreen Lighting Christmas LED Light Bulb (Pack of 25),"Características: base -Nickel, 60000 horas promedio, materiales bombilla de resina acrílica. -Navidad bombilla. Lámparas de repuesto regulables -Steady. Bases -Nickel evitar la corrosión en los zócalos. Potencia: -0,96 Watts. Voltaje: -130 voltios. Regulable: -Sí. Fuente de luz: del LED. Bombilla Tipo Forma: -Candle. Bombillas fluorescentes GU10 luces halógenas Comercial ámbar azul fresco Oro Verde Multicolor Rosa Púrpura Rojo Caliente blanco 10W 130V 199V Regulable Vela Bajo días de fiesta, navidad regalo regalos para los muchachos",4
11,11,single serve coffee maker,INTAZZA SUNCAFE Single Serve Pod Coffee Brewer Maker SUNCANA H701A NIB NEW,,4
12,12,nike shoes,Faded Glory Men's Casual Boat Shoe,"Ahoy! Whether you're on the boat, dockside or just walking around town, get your nautical on! These canvas Faded Glory men's casual boat shoes are perfect for an easy, casual look.",2
13,13,bluesky gel nail polish,"Bluesky 0.33oz Soak Off UV Gel Nail Polish Brown, GRAVEL, 29",,4
14,14,16 gb memory card,Samsung 16gb Micro SDHC Class 2 Memory Card with SD Adapter (Pack of 2),"Expand your phone's memory to a whopping 16gb with the Samsung 16GB MicroSD Memory Card. This means tons of more room for photos, music, movies, videos, games and more--all in a card that is about the size of your fingertip.",4
15,15,over the knee snow boots,Bumper Belle01 Over-the-Knee Low Heel Boots - Assorted Colors,,3
16,16,white dress,Lipstik Little Girls 4 Designer White Blue Floral Sparkle Tank Dress,"The boutique designer Lipstik brings this cute dress for your little girl. This tank style dress features a floral and pink sequin trimmed top leading to a blue sparkle waistband. The soft floral skirt make this a sweet dress for any time of year. Fully lined, cute by itself with sandals or even a pair of cowgirl boots for that western look.",3
17,17,ice cream maker,"Hamilton Beach 1.5-Qt Ice Cream Maker, Red","With the Hamilton Beach 1.5-Qt Ice Cream Maker, you can enjoy creating homemade ice cream, frozen yogurt, sherbet and gelato in your kitchen. After pre-freezing the bowl, you're ready to make dessert any time, at a fraction of the cost of an ice cream shop. Add your favorite ingredients, sit back and relax, and you will be scooping delicious, ice-cold desserts in no time. Hamilton Beach Ice Cream Makers are easy to use, even if you're a beginner. Simple-to-follow recipes are included so your family can make all kinds of delectable treats right from the start.",4
18,18,hallmark wedding couple figurine,Marriage Proposal Cast Bronze Sculpture Figurine,Handcrafted cast bronze sculpture of a couple's proposal. Port rays the power of intimacy and the close ness of marriage. A wedding or anniversary gift that will last forever. -For that special moment when two lives are joined. -Handcrafted and casted using the sand casting method.,2
19,19,soda stream,jet kit sodastream soda maker,,4
20,20,wall clocks,DIY Home Decor Large Coffee Cup Kitchen Wall Clocks Watch Decals Black,,4
21,21,gucci guilty intense women,GUCCI GUILTY INTENSE BY GUCCI PERFUME WOMEN 2.5 OZ 75 ML EDP SPRAY NIB SEALED,"Guilty Intense Was Launched In 2011 By Gucci, A Provocatively Warm Oriental Floral With Passion At Its Core. This Is An Eau De Parfum Offering For Women With Intoxicating Floral Oriental Fragrance Which Contains Excessive Dose Of Pink Pepper And Lilac. The Scent Seizes Attention With A Flamboyant Opening Born Of The Natural Rush That Is Mandarin - Imbued With A Modish Transparency-shimmering Alongside An Audacious Fist Of Pink Pepper. The Notes At The Heart Of The Fragrance Reveal A Blossoming Of Lilac, Enriched With The Sensual Feminity Of Powdery Violet And Heliotrope. At The Base Are The Notes Of Patchouli And Amber.",4
22,22,skechers womens shoes,Skechers Work Women's Compulsions-Indulgent Oxford Black,,4
23,23,button down shirt,White Stag Women's Essential Button-Down Shirt with Roll-Cuff Sleeves,"100% Rayon Machine Wash Cold,Wash With Like Colors,Use Only Non-Chlorine Bleach When Needed,Tumble Dry Low,Medium Iron",4
24,24,toaster oven,Frigidaire Professional 6-Slice Convection Toaster Oven FPCO06D7MS,,4
25,25,notebook paper,"Roaring Spring - Maxim Notebook, College Rule, 7 x 5, 1 Subject, 80 Sheets/Pad, Assorted","These wirebound notebooks are great for home and office use. The pressguard covers are coated and embossed, making them very water (and coffee!) resistant. The binding is twin wire, allowing the books to lay flat when writing. Each book contains one double pocket for storage, and has an extra heavy 50 pt. chipboard back for strength and durability. Pad Type: Notebook; Sheet Size: 7"" x 5""; Ruling: College. Includes one notebook.",4
26,26,nutri system,NutriClean HepatoCleanse (Liver Support Formula),"NutriClean HepatoCleanse is a dynamic way to help the liver reach optimal levels of functioning and detoxification. As a part of NutriClean 7-Day Cleansing System, HepatoCleanse can be used as a part of the system or alone as a maintenance dietary supplement, which contains a unique, proprietary formula designed to help you maintain proper liver health.
*These statements have not been evaluated by the Food and Drug Administration. This product(s) is not intended to diagnose, treat, cure or prevent any disease.",2
27,27,neck pillow,Lewis N. Clark Comfort Neck Pillow,"Product Material: Plush
    Product Weight: 0.50 lbs.
    Cradle your head and neck with soft, comfortable support while on the go
    Fiberfill pillow
    Hand Washable",4
28,28,volcom short,VOLCOM 1991 Womens Denim Shorts,,4
29,29,hallmark wedding couple figurine,Wedding Star 9090 A Kiss and We re Off Figurine,,3
30,30,bridal shower decorations,Sweet Shapes (TM) Candies Peg Bag 12oz,"Sweetworks-Sweet Shapes Candies Peg Bag: Shimmer. These candy coated tart shapes are great edible decorations for weddings, bridal and baby showers or most any holiday can be served on a candy and dessert buffet or use them as part of your table centerpiece design. This package contains one 12oz bag of sweet shapes candies with a shimmer. Comes in a wide variety of shapes and colors. Each sold separately. May contain soy and milk. Made in a factory that does not process nuts. Gluten Free. Imported.",1
31,31,glitter vials,"Martha Stewart Glitter and Glue Set, 3/Pkg",EK SUCCESS-Martha Stewart Glitter and Glue Set. Use these coordinated glitter colors with the included glue to make beautiful glittering designs on cards and other paper crafts! This package contains three 0.37 ounce vials of glitter and one 0.18 fl. ounce tube of glue.,3
